"achievement.agent.common1.title" :"任务卷王",
"achievement.climber.common3.title" :"富士山征服者",
"achievement.climber.common3.goal" :"累计使用钩索移动3776米以上。",
"achievement.climber.common3.cond" :"",
"achievement.climber.common3.flavor" :"注：已经有人达成了。",

"achievement.climber.common4.title" :"珠峰常客",
"achievement.climber.common4.goal" :"累计使用钩索移动8848米以上。",
"achievement.climber.common4.cond" :"",
"achievement.climber.common4.flavor" :"注：已经有人达成了。",

"achievement.climber.common5.title" :"火星旅行者",
"achievement.climber.common5.goal" :"累计使用钩索移动21230米以上。",
"achievement.climber.common5.cond" :"",
"achievement.climber.common5.flavor" :"奥林帕斯山，火星上的最高峰。<br>仰望星空吧。",

"achievement.climber.another1.title" :"自寻死路",
"achievement.climber.another1.goal" :"使用钩索移动过程中或结束时被击杀。",
"achievement.climber.another1.cond" :"",

"achievement.climber.challenge.title" :"虎口脱险",
"achievement.climber.challenge.goal" :"在伪装者、豺狼附近使用钩索移动。<br>周围存在2人以上，且结束后没有死亡。",
"achievement.climber.challenge.cond" :"",

"achievement.collator.common3.title" :"矛盾大发现",
"achievement.collator.common3.goal" :"核对的结果确认不一致。",
"achievement.collator.common3.cond" :"",
"achievement.collator.common3.flavor" :"“我们现在已经确定要个非船员溜进来了"—研究者的报告单",

"achievement.collator.common1.title" :"采样狂魔",
"achievement.collator.common1.goal" :"一次游戏取得五次以上样本。",
"achievement.collator.common1.cond" :"",
"achievement.collator.common1.flavor" :"“你不能一直抽下去！" ——研究者的提醒。",

"achievement.collator.common2.title" :"疯狂研究员",
"achievement.collator.common2.goal" :"总计取得20次样品。",
"achievement.collator.common2.cond" :"",
"achievement.collator.common2.flavor" :"“我觉得你不是一个船员！" ——报告单上的潦草字迹。",

"achievement.collator.common4.title" :"毒物鉴定师",
"achievement.collator.common4.goal" :"比较两名伪装者的样本。",
"achievement.collator.common4.cond" :"",
"achievement.collator.common4.flavor" :"“这...不对...快跑！" ——用血写在地板上的字",

"achievement.collator.another1.title" :"死亡采样者",
"achievement.collator.another1.goal" :"取样死亡玩家的样本。",
"achievement.collator.another1.cond" :"提示：采集后5秒内被采样玩家死亡",
"achievement.collator.another1.flavor" :"逆风者只为拯救世界却拯救不了自己。",

"achievement.collator.challenge.title" :"科学救世主",
"achievement.collator.challenge.goal" :"全部伪装者都被采集后驱逐他们并胜利。",
"achievement.collator.challenge.cond" :"",
"achievement.collator.challenge.flavor" :"“世界终于恢复正轨了！"——一段话从实验室中传出。",

"achievement.comet.common1.title" :"彗星登场",
"achievement.comet.common1.goal" :"使用自己的技能。",
"achievement.comet.common1.cond" :"提示：仅在Skeld与Airship地图上获得。",

"achievement.comet.common2.title" :"地面飞星",
"achievement.comet.common2.goal" :"使用自己的技能。",
"achievement.comet.common2.cond" :"提示：仅在MIRA HQ、Polus与Fungle地图上获得。",

"achievement.comet.common3.title" :"超速彗星",
"achievement.comet.common3.goal" :"使用技能移动45米以上。",
"achievement.comet.common3.cond" :"提示：技能持续时间：15秒以下+速度倍率：2.5倍以下",
"achievement.comet.common3.flavor" :"“请不要超速。" ——来自会议的警告",

"achievement.comet.common4.title" :"加速起飞",
"achievement.comet.common4.goal" :"使用加速陷阱并配合“敏捷"特技下的加速效果。",
"achievement.comet.common4.cond" :"",

"achievement.comet.challenge.title" :"隐形见证者",
"achievement.comet.challenge.goal" :"在技能期间看到凶案。",
"achievement.comet.challenge.cond" :"",

"achievement.doctor.common1.title" :"白衣天使",
"achievement.doctor.common1.goal" :"打开一次自身携带的生命监测装置。",
"achievement.doctor.common1.cond" :"",

"achievement.doctor.challenge.title" :"心碎医生",
"achievement.doctor.challenge.goal" :"在使用便携式生命监测装置时看到死亡的瞬间。",
"achievement.doctor.challenge.cond" :"提示：初始时间在10秒以下+任务充能2秒以下",
"achievement.doctor.challenge.flavor" :"“又多了一个。"——来自白衣者无奈独白",

"achievement.doppelganger.common1.title" :"瞬移达人",
"achievement.doppelganger.common1.goal" :"与分身交换位置并移动20米以上。",
"achievement.doppelganger.common1.cond" :"",

"achievement.doppelganger.another1.title" :"同归于尽",
"achievement.doppelganger.another1.goal" :"因为分身死亡导致本体死亡。",
"achievement.doppelganger.another1.cond" :"",

"achievement.doppelganger.challenge.title" :"分身打工王",
"achievement.doppelganger.challenge.goal" :"通过分身交换位置快速完成多个任务。",
"achievement.doppelganger.challenge.cond" :"提示：完成任务时，所有船员剩余任务量超过4个。",

"achievement.echo.common1.title" :"雷达启动",
"achievement.echo.common1.goal" :"使用一次感知并感知到其他玩家。",
"achievement.echo.common1.cond" :"",

"achievement.echo.common2.title" :"耳听八方",
"achievement.echo.common2.goal" :"累计感知50次玩家行动。",
"achievement.echo.common2.cond" :"",

"achievement.echo.challenge.title" :"顺风耳侦探",
"achievement.echo.challenge.goal" :"通过感知2名以上玩家的异常行为并将异常行为的玩家投出去。",
"achievement.echo.challenge.cond" :"",
"achievement.echo.challenge.flavor" :"“请注意你们的行为！"——空气中流动的声音",

"achievement.fixer.common1.title" :"信号屏蔽王",
"achievement.fixer.common1.goal" :"累计屏蔽5次平板通信。",
"achievement.fixer.common1.cond" :"",

"achievement.fixer.common2.title" :"翻盘大师",
"achievement.fixer.common2.goal" :"屏蔽已经获得5票的船员，并驱逐真正的敌人。",
"achievement.fixer.common2.cond" :"",

"achievement.fixer.secret1.title" :"信号受害者",
"achievement.fixer.secret1.goal" :"被屏蔽一次。",
"achievement.fixer.secret1.cond" :"",

"achievement.fixer.challenge.title" :"幕后黑手",
"achievement.fixer.challenge.goal" :"在投票阶段屏蔽敌方玩家并驱逐队友。",
"achievement.fixer.challenge.cond" :"",
"achievement.fixer.challenge.flavor" :"“你永远不知道你会在哪里摔跤。"",
 
"achievement.investigator.common1.title" :"真相小侦探",
"achievement.investigator.common1.goal" :"累计调查10次足迹。",
"achievement.investigator.common1.cond" :"",
"achievement.investigator.common1.flavor" :"“真相只有一个！"——《名侦探柯南》",

"achievement.investigator.another1.title" :"死在真相前",
"achievement.investigator.another1.goal" :"调查过程中，在足迹附近死亡。",
"achievement.investigator.another1.cond" :"",

"achievement.investigator.another2.title" :"纵容帮凶",
"achievement.investigator.another2.goal" :"在调查发现足迹后，结束后没有驱逐任何一个嫌疑人。",
"achievement.investigator.another2.cond" :"",

"achievement.investigator.challenge.title" :"正义执行者",
"achievement.investigator.challenge.goal" :"在调查发现足迹后并驱逐嫌疑人。",
"achievement.investigator.challenge.cond" :"",
"achievement.investigator.challenge.flavor" :""

"achievement.jekyllAndHyde.common1.title":"变身狂想曲",
"achievement.jekyllAndHyde.common1.goal":"喝下药物主动成为海德。",
"achievement.jekyllAndHyde.common1.cond":"",
"achievement.jekyllAndHyde.common1.flavor":"没有邪恶，只有我，永远是我！",

"achievement.jekyllAndHyde.another1.title":"烈焰终章",
"achievement.jekyllAndHyde.another1.goal":"通过海德人格死亡并输掉游戏。",
"achievement.jekyllAndHyde.another1.cond":"",
"achievement.jekyllAndHyde.another1.flavor":"这是我最后一次登台！",

"achievement.jekyllAndHyde.common2.title":"主宰者",
"achievement.jekyllAndHyde.common2.goal":"通过海德人格击杀伪装者。",
"achievement.jekyllAndHyde.common2.cond":"",
"achievement.jekyllAndHyde.common2.flavor":"让我破除这迷雾！",

"achievement.jekyllAndHyde.common3.title":"幕后黑手",
"achievement.jekyllAndHyde.common3.goal":"通过海德人格击杀船员。",
"achievement.jekyllAndHyde.common3.cond":"",
"achievement.jekyllAndHyde.common3.flavor":"世界只是舞台，我在演我的人生。",

"achievement.jekyllAndHyde.challenge.title":"挡路者",
"achievement.jekyllAndHyde.challenge.goal":"通过海德人格击杀其他玩家并以船员阵营获胜。",
"achievement.jekyllAndHyde.challenge.cond":"提示：击杀船员玩家",
"achievement.jekyllAndHyde.challenge.flavor":"我只是想靠自己的努力罢了。",

"achievement.justice.common1.title":"开庭时刻",
"achievement.justice.common1.goal":"发起一次公平会议。",
"achievement.justice.common1.cond":"",
"achievement.justice.common1.flavor":"请说出你们的证词！——来自法庭最高的声音。",

"achievement.justice.common2.title":"审判之眼",
"achievement.justice.common2.goal":"法庭中有一方是伪装者。",
"achievement.justice.common2.cond":"",
"achievement.justice.common2.flavor":"充满紧张的气氛。——来自一个人的唏嘘。",

"achievement.justice.another1.title":"疑神疑鬼",
"achievement.justice.another1.goal":"自己在法庭中被驱逐。",
"achievement.justice.another1.cond":"",
"achievement.justice.another1.flavor":"难道他是无辜的？——来自疑惑的人。",

"achievement.justice.common3.title":"平票风波",
"achievement.justice.common3.goal":"两个玩家获得同样的票数。",
"achievement.justice.common3.cond":"",
"achievement.justice.common3.flavor":"都有充分的理由，真让人难办。——来自会议记录。",

"achievement.justice.challenge.title":"原告？被告？",
"achievement.justice.challenge.goal":"将两名伪装者挂在法庭上，并同时驱逐。",
"achievement.justice.challenge.cond":"",
"achievement.justice.challenge.flavor":"正义的天平始终平衡。",

"achievement.madmate.common1.title":"舍生取义",
"achievement.madmate.common1.goal":"在会议中，其他伪装者还活着的时候被放逐。",
"achievement.madmate.common1.cond":"",

"achievement.madmate.another1.title":"追随需献身",
"achievement.madmate.another1.goal":"被伪装者杀死。",
"achievement.madmate.another1.cond":"",

"achievement.madmate.common2.title":"狂热信徒",
"achievement.madmate.common2.goal":"完成任务并得知伪装者。",
"achievement.madmate.common2.cond":"",

"achievement.madmate.another2.title":"太招摇了",
"achievement.madmate.another2.goal":"完成任务得知伪装者后被击杀。",
"achievement.madmate.another2.cond":"",

"achievement.madmate.another3.title":"在劫难逃",
"achievement.madmate.another3.goal":"完成部分任务并发现部分伪装者<br>但被未知晓的伪装者击杀。",
"achievement.madmate.another3.cond":"",

"achievement.madmate.challenge.title":"狂妄真理",
"achievement.madmate.challenge.goal":"所有伪装者都存活，并且获胜。",
"achievement.madmate.challenge.cond":"",

"achievement.mayor.common1.title":"独裁者",
"achievement.mayor.common1.goal":"使用自己的能力将其他玩家票出。",
"achievement.mayor.common1.cond":"提示：必须是自己票的玩家",
"achievement.mayor.common1.flavor":"我说的才算！——来自独裁者的发言。",

"achievement.mayor.another1.title":"白忙活",
"achievement.mayor.another1.goal":"没有投出一票的情况下死亡。",
"achievement.mayor.another1.cond":"提示：3次会议以上",

"achievement.mayor.common2.title":"隐藏实力",
"achievement.mayor.common2.goal":"从开局第一次会议开始计算，连续3次会议只投1票。",
"achievement.mayor.common2.cond":"提示：隐藏能力后，用能力放逐一名玩家。",

"achievement.mayor.challenge.title":"谨慎市长",
"achievement.mayor.challenge.goal":"仅用自己的选票将一名非船员的玩家放逐。",
"achievement.mayor.challenge.cond":"提示：小丑不算",
"achievement.mayor.challenge.flavor":"谨慎才能干大事！",

"achievement.navvy.common1.title":"强力封贴",
"achievement.navvy.common1.goal":"使用10次封锁。",
"achievement.navvy.common1.cond":"",
"achievement.navvy.common1.flavor":"这玩意真能贴住吗？",

"achievement.navvy.common2.title":"黏黏烦人",
"achievement.navvy.common2.goal":"去除5次胶带。",
"achievement.navvy.common2.cond":"",

"achievement.navvy.challenge.title":"保持通畅",
"achievement.navvy.challenge.goal":"封锁房间所有的门。",
"achievement.navvy.challenge.cond":"提示：这个房间必须拥有2个以上的门。",
"achievement.navvy.challenge.flavor":"我不是关门了吗？？？—一位愤怒的伪装者",

"achievement.necromancer.common1.title":"亡者归来",
"achievement.necromancer.common1.goal":"复活一名玩家。",
"achievement.necromancer.common1.cond":"",
"achievement.necromancer.common1.flavor":"还没到你退场的时候。——来自一位神秘的法师。",

"achievement.necromancer.another2.title":"没有奇迹",
"achievement.necromancer.another2.goal":"在拖动尸体的过程中被击杀。",
"achievement.necromancer.another2.cond":"",
"achievement.necromancer.another2.flavor":"人固有一死，或重于泰山，或轻于鸿毛——汉 · 司马迁",

"achievement.necromancer.another.title":"通灵事故",
"achievement.necromancer.another.goal":"复活一个非船员阵营玩家。",
"achievement.necromancer.another.cond":"",

"achievement.necromancer.challenge.title":"轮回",
"achievement.necromancer.challenge.goal":"在一局游戏中让同一名玩家复活两次。",
"achievement.necromancer.challenge.cond":"",
"achievement.necromancer.challenge.flavor":"无法结束的噩梦。——来自重生者。",

"achievement.niceTrapper.common1.title":"仁慈陷阱",
"achievement.niceTrapper.common1.goal":"放置一个加速陷阱。",
"achievement.niceTrapper.common1.cond":"",

"achievement.niceTrapper.challenge.title":"名侦探",
"achievement.niceTrapper.challenge.goal":"通过信号陷阱获得8个人的动向。",
"achievement.niceTrapper.challenge.cond":"提示：每次会议结束，都会重置人数",
"achievement.niceTrapper.challenge.flavor":"你们都很可疑！——来自会议记录。",

"achievement.noisemaker.common1.title":"神经过敏",
"achievement.noisemaker.common1.goal":"死亡后触发技能。",
"achievement.noisemaker.common1.cond":"",
"achievement.noisemaker.common1.flavor":"在死亡之后的警示他人——《飞船安全法则》节选",

"achievement.noisemaker.challenge.title":"苦肉计",
"achievement.noisemaker.challenge.goal":"被击杀后，击杀者在会议中被驱逐。",
"achievement.noisemaker.challenge.cond":"",

"achievement.oracle.common1.title":"星语者",
"achievement.oracle.common1.goal":"使用10次观测。",
"achievement.oracle.common1.cond":"",

"achievement.oracle.another1.title":"私心",
"achievement.oracle.another1.goal":"驱逐或误赌一名观测过的船员。",
"achievement.oracle.another1.cond":"",

"achievement.oracle.challenge.title":"观星术",
"achievement.oracle.challenge.goal":"观测过的伪装者中至少有1名船员结果中有伪装者，<br>且不驱逐一个船员（不含叛徒）的情况下获胜。",
"achievement.oracle.challenge.cond":"",

"achievement.phosphorus.common1.title":"夜空中最亮的星",
"achievement.phosphorus.common1.goal":"放置3个的提灯。",
"achievement.phosphorus.common1.cond":"",

"achievement.phosphorus.common2.title":"光芒万丈",
"achievement.phosphorus.common2.goal":"放置20个提灯。",
"achievement.phosphorus.common2.cond":"",

"achievement.phosphorus.challenge.title":"来自火柴的温度",
"achievement.phosphorus.challenge.goal":"用提灯照亮尸体。",
"achievement.phosphorus.challenge.cond":"",

"achievement.provocateur.common1.title":"尔虞我诈",
"achievement.provocateur.common1.goal":"被放逐时，随机带走一名玩家。",
"achievement.provocateur.common1.cond":"",

"achievement.provocateur.common2.title":"罪有应得",
"achievement.provocateur.common2.goal":"使用挑衅成功带走一名敌人。",
"achievement.provocateur.common2.cond":"",

"achievement.provocateur.challenge.title":"这就是第六感",
"achievement.provocateur.challenge.goal":"技能期间将10米以外的强盗或者狙击手连带死亡。",
"achievement.provocateur.challenge.cond":"",
"achievement.provocateur.challenge.flavor":"強い怨念はときに空間を伝播する。これは実に馬鹿げた仮説である。——理論物理学の実験ノート",

"achievement.psychic.common1.title":"亡者之声",
"achievement.psychic.common1.goal":"进行一次通灵。",
"achievement.psychic.common1.cond":"",

"record.psychic.common2.elapsedTime":"死亡经过时间",
"record.psychic.common2.killersColor":"击杀者颜色深浅",
"record.psychic.common2.killersRole":"击杀者职业",
"record.psychic.common2.killerIsDead":"击杀者已经死亡",
"record.psychic.common2.myRole":"被杀者职业",
"record.psychic.common2.myState":"死因",

"achievement.psychic.common2.title":"资深灵媒",
"achievement.psychic.common2.goal":"获取所有的通灵信息。",
"achievement.psychic.common2.cond":"",

"achievement.psychic.challenge.title":"人道关怀",
"achievement.psychic.challenge.goal":"对已经死亡20秒以上的尸体进行通灵，并准确驱逐或赌杀。",
"achievement.psychic.challenge.cond":"",
"achievement.psychic.challenge.flavor":"虽然无力回天，但仍为你伸张正义。",

"achievement.seer.common1.title":"无法逃逸的灵魂",
"achievement.seer.common1.goal":"靠近亡者的灵魂。",
"achievement.seer.common1.cond":"",

"achievement.seer.another1.title":"观察者",
"achievement.seer.another1.goal":"第一个被击杀。",
"achievement.seer.another1.cond":"",

"achievement.seer.challenge2.title":"唯一的真理",
"achievement.seer.challenge2.goal":"在所有人都投票的情况下，只有自己投给非船员阵营。",
"achievement.seer.challenge2.cond":"提示：弃票、不投票都不算，必须要连续三回合以上。",

"achievement.sheriff.common1.title":"正直警长",
"achievement.sheriff.common1.goal":"成功执法。",
"achievement.sheriff.common1.cond":"",

"achievement.sheriff.another1.title":"美国警长",
"achievement.sheriff.another1.goal":"执法失败。",
"achievement.sheriff.another1.cond":"",
"achievement.sheriff.another1.flavor":"嗨，我让你举起手！——来自一段执法记录仪",

"achievement.sheriff.another2.title":"无能警官",
"achievement.sheriff.another2.goal":"不执法并活到最后胜利。",
"achievement.sheriff.another2.cond":"",

"achievement.sheriff.another3.title":"没有信誉",
"achievement.sheriff.another3.goal":"执法后报告并被指控驱逐",
"achievement.sheriff.another3.cond":"",
"achievement.sheriff.another3.flavor":"你已经没有任何信誉可言！—来自船员们的唏嘘。",

"achievement.sheriff.common2.title":"从不记仇",
"achievement.sheriff.common2.goal":"成功执法一名在会议中投给警长的玩家。",
"achievement.sheriff.common2.cond":"",

"achievement.sheriff.challenge.title":"完美执法者",
"achievement.sheriff.challenge.goal":"用自己的能力淘汰敌人。",
"achievement.sheriff.challenge.cond":"提示：击杀2名以上的敌人。",

"achievement.ubiquitous.common1.title":"拆锁匠",
"achievement.ubiquitous.common1.goal":"在一局游戏中打开5次门。",
"achievement.ubiquitous.common1.cond":"",

"achievement.ubiquitous.common2.title":"拆锁专家",
"achievement.ubiquitous.common2.goal":"总计打开20次门。",
"achievement.ubiquitous.common2.cond":"",
"achievement.ubiquitous.common2.flavor":"你是怎么做到的？<br>用一点点黑客的能力。",

"achievement.ubiquitous.challenge.title":"超级监控网络",
"achievement.ubiquitous.challenge.goal":"在地图上确认所有存活玩家的位置。",
"achievement.ubiquitous.challenge.cond":"提示：除自身以外10人以上+检测范围3米以内",

"achievement.alien.common1.title":"外星礼品",
"achievement.alien.common1.goal":"E.M.I.技能期间击杀一人。",
"achievement.alien.common1.cond":"",
"achievement.alien.common1.flavor":"@#>><:":@#$%?——来自一个外星人的询问。",

"achievement.alien.common2.title":"躲猫猫",
"achievement.alien.common2.goal":"总计10次将玩家从管理室地图上抹去。",
"achievement.alien.common2.cond":"",
"achievement.alien.common2.flavor":"我真的在那里！——来自会议记录。",

"achievement.alien.common3.title":"好邻居",
"achievement.alien.common3.goal":"通过E.M.I.技能以掩盖队友的击杀。",
"achievement.alien.common3.cond":"",
"achievement.alien.common3.flavor":"那里怎么会有尸体？——来自会议记录。",

"achievement.alien.common4.title":"抹去你一切痕迹",
"achievement.alien.common4.goal":"杀死一名在管理面板被抹去的玩家。",
"achievement.alien.common4.cond":"",
"achievement.alien.common4.flavor":"到底去哪里了？",

"achievement.alien.challenge.title":"异星侵略者",
"achievement.alien.challenge.goal":"通过E.M.I.技能隐藏5次击杀。",
"achievement.alien.challenge.cond":"提示：自身击杀3名玩家以上",
"achievement.alien.challenge.flavor":"所以他们都已经死了吗？——来自被追入绝境的船员。",

"achievement.berserker.common1.title":"红温",
"achievement.berserker.common1.goal":"使用一次暴怒能力。",
"achievement.berserker.common1.cond":"",

"achievement.berserker.common2.title":"无尽怒火",
"achievement.berserker.common2.goal":"累计使用10次以上个暴怒。",
"achievement.berserker.common2.cond":"",

"achievement.berserker.common3.title":"过度劳累之后…",
"achievement.berserker.common3.goal":"击杀一名玩家后使用镇静能力。",
"achievement.berserker.common3.cond":"",

"achievement.berserker.another1.title":"临死前的怒火",
"achievement.berserker.another1.goal":"使用暴怒能力后在会议期间被驱逐或赌杀。",
"achievement.berserker.another1.cond":"",

"achievement.berserker.another2.title":"嗜血野兽",
"achievement.berserker.another2.goal":"在忘我状态下击杀一名伪装者。",
"achievement.berserker.another2.cond":"",

"achievement.berserker.common4.title":"怒火未消",
"achievement.berserker.common4.goal":"在暴怒状态下击杀玩家并活到会议结束",
"achievement.berserker.common4.cond":"",

"achievement.berserker.challenge.title":"无人可挡",
"achievement.berserker.challenge.goal":"使用暴怒能力后，在20秒内击杀3名玩家并存活到最后胜利。",
"achievement.berserker.challenge.cond":"",

"achievement.bountyHunter.common1.title":"专业的事交给专业的人",
"achievement.bountyHunter.common1.goal":"成功击杀赏金目标。",
"achievement.bountyHunter.common1.cond":"",

"achievement.bountyHunter.another1.title":"专业人士也有失误",
"achievement.bountyHunter.another1.goal":"击杀除赏金以外的目标。",
"achievement.bountyHunter.another1.cond":"",

"achievement.bountyHunter.challenge.title":"专业赏金杀手",
"achievement.bountyHunter.challenge.goal":"30秒内杀死3个玩家。",
"achievement.bountyHunter.challenge.cond":"",

"achievement.bubblegun.common1.title":"抓到了！",
"achievement.bubblegun.common1.goal":"用泡泡捕捉一个玩家。",
"achievement.bubblegun.common1.cond":"",

"achievement.bubblegun.another1.title":"破碎的泡泡",
"achievement.bubblegun.another1.goal":"使用泡泡枪后，在下轮会议中被赌杀或者驱逐。",
"achievement.bubblegun.another1.cond":"",
"achievement.bubblegun.another1.flavor":"终有消散时。",

"achievement.bubblegun.challenge.title":"泡泡危机",
"achievement.bubblegun.challenge.goal":"向右上方发生一个泡泡，并在破裂前使3名以上玩家困住。",
"achievement.bubblegun.challenge.cond":"",
"achievement.bubblegun.challenge.flavor":"这是什么东西那么漂亮？——来自好奇者。",

"achievement.camouflager.common1.title":"谁在那？",
"achievement.camouflager.common1.goal":"使用一次技能。",
"achievement.camouflager.common1.cond":"",

"achievement.camouflager.challenge.title":"恐惧就在你们身边",
"achievement.camouflager.challenge.goal":"在技能期间，出现4次以上的凶案。",
"achievement.camouflager.challenge.cond":"",
"achievement.camouflager.challenge.flavor":"人群也充满危险！——没有署名的纸条。",

"achievement.cannon.common3.title":"让你飞起来！",
"achievement.cannon.common3.goal":"发射空气炮。",
"achievement.cannon.common3.cond":"",

"achievement.cannon.common1.title":"注意头顶！",
"achievement.cannon.common1.goal":"在吹飞之后落地并击杀一名玩家。",
"achievement.cannon.common1.cond":"提示：落地后在3秒内成功击杀一名玩家。",

"achievement.cannon.common2.title":"散射！",
"achievement.cannon.common2.goal":"用空气炮吹飞其他玩家。",
"achievement.cannon.common2.cond":"提示：吹飞5人和除自己以外的1名以上的伪装者。",

"achievement.cannon.another1.title":"哑炮",
"achievement.cannon.another1.goal":"没有人被空气炮吹飞。",
"achievement.cannon.another1.cond":"",

"achievement.cannon.another2.title":"上天去吧！",
"achievement.cannon.another2.goal":"在船员做任务的过程中将其吹飞10米以上的距离。",
"achievement.cannon.another2.cond":"",

"achievement.cannon.challenge.title":"飞行事故",
"achievement.cannon.challenge.goal":"所有在本回合内吹飞的玩家由不同原因在此回合死亡。",
"achievement.cannon.challenge.cond":"提示：至少击飞3个人，会议驱逐、连带也计入。",

"achievement.cleaner.common1.title":"干干净净",
"achievement.cleaner.common1.goal":"清理一次尸体。",
"achievement.cleaner.common1.cond":"",

"achievement.cleaner.common2.title":"自我清理",
"achievement.cleaner.common2.goal":"清理自己击杀产生的尸体。",
"achievement.cleaner.common2.cond":"",

"achievement.cleaner.challenge.title":"捉摸不透的会议",
"achievement.cleaner.challenge.goal":"在发动会议之前清理两个以上的尸体。",
"achievement.cleaner.challenge.cond":"",

"achievement.cupid.common1.title":"异地恋",
"achievement.cupid.common1.goal":"让相差30米的恋人显现红线。",
"achievement.cupid.common1.cond":"",

"achievement.combination.2.cupid.lover.common1.title":"血红色的羁绊",
"achievement.combination.2.cupid.lover.common1.goal":"作为月老撮合一对恋人，然后通过红线击杀2人以上并以恋人阵营胜利。",
"achievement.combination.2.cupid.lover.common1.cond":"",

"achievement.cupid.another1.title":"这不对吧",
"achievement.cupid.another1.goal":"触碰到自己撮合的恋人产生的红线导致死亡。",
"achievement.cupid.another1.cond":"",

"achievement.cupid.challenge.title":"至痴情者",
"achievement.cupid.challenge.goal":"作为月老撮合一对恋人，然后通过红线击杀5人以上，<br>之后通过某些手段除掉恋人并以伪装者阵营胜利。",
"achievement.cupid.challenge.cond":"",
"achievement.cupid.challenge.flavor":"痴情的恋人啊，在等来世吧！",

"achievement.destroyer.common1.title":"禁忌之力",
"achievement.destroyer.common1.goal":"使用一次特殊击杀。",
"achievement.destroyer.common1.cond":"",

"achievement.destroyer.common2.title":"碾压一切！",
"achievement.destroyer.common2.goal":"使用10次特殊击杀",
"achievement.destroyer.common2.cond":"",

"achievement.destroyer.another1.title":"趁虚而入",
"achievement.destroyer.another1.goal":"在进行击杀的过程中被报告.",
"achievement.destroyer.another1.cond":"",

"achievement.destroyer.challenge.title":"法外狂徒",
"achievement.destroyer.challenge.goal":"在同一场游戏中杀死3个玩家并胜利。",
"achievement.destroyer.challenge.cond":"",
"achievement.destroyer.challenge.flavor":"这似乎是一个处刑场。——来自探险者的阐述。",

"achievement.disturber.common1.title":"禁止通行",
"achievement.disturber.common1.goal":"使用干扰技能。",
"achievement.disturber.common1.cond":"",

"achievement.disturber.common2.title":"封锁区域",
"achievement.disturber.common2.goal":"连接6根杆子并使用干扰技能。",
"achievement.disturber.common2.cond":"",

"achievement.disturber.challenge.title":"超长干扰",
"achievement.disturber.challenge.goal":"通过干扰杆导致电力/通讯破坏超过40秒未被修复<br>导致期间3人死亡。",
"achievement.disturber.challenge.cond":"提示：夸会议重置时间。",
"achievement.disturber.challenge.flavor":"在修复破坏之前，还需检修一下。",

"achievement.effacer.common1.title":"橡皮擦",
"achievement.effacer.common1.goal":"让玩家隐身。",
"achievement.effacer.common1.cond":"",
"achievement.effacer.common1.flavor":"你从哪里来的？——来自会议记录。",

"achievement.effacer.common2.title":"隐形刺客",
"achievement.effacer.common2.goal":"让伪装者队友隐身。",
"achievement.effacer.common2.cond":"",
