"ui.discordWebhook.autoSend" : "自动发送 (仅房主)"
"ui.discordWebhook.determine" : "确定"
"ui.discordWebhook.send" : "发送"
"ui.dragAndDrop" : "将文件拖放到此处"
"ui.costume.missedCostume" : "想要显示其他玩家的全球装扮 (模组帽)<br>必须下载对应装饰品资源<br><br>点击打开界面以下载"
"ui.costume.unownedCostume" : "缺少全球装扮列表 (模组帽)"
"ui.error.stamp.notLoaded" : "正在加载表情包。<br>请稍后重试!"
"ui.error.stamp.notAllowed" : "该房间禁用了表情包!"
"ui.error.emote.notAllowed" : "该房间禁用了表情动作!"
"ui.error.emote.cooldown" : "表情发送过于频繁，请稍等片刻"
"ui.stamp.onTable" : "表情栏"
"ui.stamp.all" : "可用表情"
"ui.stamp.full" : "表情栏已满。<br>请选择要替换的表情"
"ui.stamp.select" : "请选择要替换的表情"
"ui.stamp.click.top.1" : "在下方列表中<br>左击选择<br>你想替换的表情"
"ui.stamp.click.top.2" : "鼠标左击以替换表情"
"ui.stamp.click.bottom.1" : "鼠标左击以添加表情"
"ui.stamp.click.bottom.2" : "鼠标左击以移除表情"
"ui.stamp.loading" : " (加载中或未知表情)"
"ui.warning.unrecommendedResolution" : "为了您的体验，建议使用宽高比为16:9的屏幕游玩"
"ui.error.failedToSearchRoom" : "以下区域未找到对应房间:"
"ui.error.quickStart.cannotStart" : "玩家数不足，无法开始!"
"ui.utility.premultipliedConversion.folderGenerated" : "已创建预乘前图片的文件夹：Utility/Original<br>请将需要处理的图片存放其中。"
"ui.utility.premultipliedConversion.noImages" : "没有可处理的文件。<br>仅支持png格式的图片。"
"ui.utility.premultipliedConversion.start" : "开始处理第%NUM%张图片。"
"ui.utility.premultipliedConversion.finish" : "处理完成。处理后的图片在Utility/Premultiplied文件夹中。<br>在%MAX%张图片中，有%NUM%张处理完成。"

"ui.attribute.accel" : "疾行"
"ui.attribute.accel.detail" : "加速加速"
"ui.attribute.decel" : "迟缓"
"ui.attribute.decel.detail" : "移动速度减慢"
"ui.attribute.inverse" : "醉酒"
"ui.attribute.inverse.detail" : "移动方向反转"
"ui.attribute.invisible" : "渐隐"
"ui.attribute.invisible.detail" : "别人看不到你"
"ui.attribute.size" : "体型"
"ui.attribute.size.detail" : "你的体型发生了变化"
"ui.attribute.curseOfBloody" : "血语诅咒"
"ui.attribute.curseOfBloody.detail" : "在一段时间内留下血脚印"
"ui.attribute.isolation" : "孤立"
"ui.attribute.isolation.detail" : "你不会存在于管理地图和生命监测器中"
"ui.attribute.busker" : "街头艺人"
"ui.attribute.busker.detail" : "生命监测器中永远显示你存活"
"ui.attribute.flip" : "翻转"
"ui.attribute.flip.detail" : "屏幕翻转了"
"ui.attribute.screenSize" : "鹰眼"
"ui.attribute.screenSize.detail" : "天眼，开!"
"ui.attribute.eyesight" : "火炬"
"ui.attribute.eyesight.detail" : "你的视野比较大"
"ui.attribute.rough" : "马赛克"
"ui.attribute.rough.detail" : "谁动我家门锁了"
"ui.attribute.thurifer" : "香熏"
"ui.attribute.thurifer.detail" : "你受到香炉烟气的影响。<br>吸入量越大，受到调香师的攻击后死亡延迟越久。"
"ui.attribute.cooldown" : "时控"
"ui.attribute.cooldown.detail" : "改变冷却速度"

"ui.button.mainAction" : "主动作"
"ui.button.aidAction" : "次要动作"

"ui.action.cleaner.clean" : "清理尸体<br>与击杀同步冷却"
"ui.action.destroyer.kill" : "站在其他玩家旁边，然后压扁他"
"ui.action.disturber.place" : "放置干扰电极<br>电极之间距离不能太远哦"
"ui.action.disturber.disturb" : "开启电磁屏障<br>效果接受后第一个安放的电极消失"
"ui.action.trapper.place" : "放置陷阱"
"ui.action.trapper.switch" : "切换将要放置的陷阱类型"
"ui.action.illusioner.sample" : "取样玩家"
"ui.action.illusioner.paint" : "模仿：将其他玩家改变为被取样者外观"
"ui.action.illusioner.morph" : "化形：将自己改变为被取样者外观"
"ui.action.illusioner.switch" : "切换模仿与化形"
"ui.action.marionette.place" : "放置木偶"
"ui.action.marionette.destroy" : "摧毁木偶"
"ui.action.marionette.monitor" : "切换本体与木偶视角"
"ui.action.marionette.swap" : "与木偶交换位置"
"ui.action.marionette.switch" : "切换模式<br>更改视角或换位控制"
"ui.action.raider.equip" : "掏出或隐藏斧子"
"ui.action.raider.kill" : "投掷斧子"
"ui.action.sniper.equip" : "掏出或收起狙击枪"
"ui.action.sniper.kill" : "开火射击"
"ui.action.stirrer.stir" : "标记玩家"
"ui.action.stirrer.fakeSabo" : "给予被标记玩家一个假的破坏效果。"
"ui.action.ubiquitous.drone" : "唤起无人机<br>或在本体与无人机之间切换视角"
"ui.action.ubiquitous.doorHack" : "打开或关闭附近的门"
"ui.action.paparazzo.camera" : "拍摄照片"
"ui.action.paparazzo.toggle" : "更改取景框位置"
"ui.action.mouseClick" : "左击附近的玩家，同样可以触发操作"
"ui.action.danceAction" : "可通过小幅晃动动作触发"
"ui.action.cannon.mark" : "标记空气炮位置"
"ui.action.cannon.cannon" : "打开特殊地图启动空气炮"
"ui.action.thurifer.curse" : "激活香炉。"
"ui.action.scarlet.suicide" : "如果长时间不选择真爱将死亡<br>会议期间倒计时不会继续"
"ui.action.bubblegun.equip" : "掏出或收起泡泡枪<br>掏出泡泡枪时，击杀按钮改为发射泡泡"
"ui.action.bubblegun.kill" : "发射泡泡 <br>发射后泡泡枪会自动隐藏"
"ui.action.nightmare.place" : "种下一枚梦魇种子。<br>当梦魇被激活时，种子周围将笼罩一层阴影。"
"ui.action.nightmare.nightmare" : "在梦魇种子周围产生特殊的阴影"
"ui.action.plumber.move" : "可在通风口附近使用技能。<br>使用技能后会吸附通风口并随之一起移动。<br>持续时间结束或再次点击技能按钮即可放置到当前所在位置。"
"ui.action.snatcher.snatch" : "夺取他人能力"
"ui.action.snatcher.clock" : "短时间内加快冷却速度"
"ui.action.cupid.lover" : "选择作为恋人的玩家"
"ui.action.cupid.laser" : "在选中的两个玩家之间会出现一条红线。<br>红线出现会有一段延迟"
"ui.action.cupid.lover.string" : "触发姻缘红线。<br>一局只能使用一次。"
"ui.action.gimlet.drill" : "变身成钻头进行冲撞攻击。"

"ui.contact.title" : "问题反馈"
"ui.contact.guide" : "请在此提交您发现的bug或者您的建议与要求<br>* 表单采用匿名提交, 开发团队不会直接回复(建议使用日文或英文)。<br><br>如需答复, 请通过官方Discord服务器联系我们。"
"ui.contact.emptyError" : "请在此填写反馈内容!"
"ui.contact.image" : "请选择图片内容(如果您有)"
"ui.contact.noImage" : "此处可以附加截图内容"
"ui.contact.sendLog" : "发送游戏日志"
"ui.contact.send" : "提交"
"ui.contact.wait" : "请稍后..."
"ui.contact.finished" : "提交成功。 <br>感谢反馈!"
"ui.contact.failed" : "表单提交失败<br><br>%DETAIL%"

# Tutorial

"tutorial.guide.canClose" : "点击关闭教程。"
"tutorial.guide.cannotClose" : "当鼠标悬停时，此教程提示将会继续进行。"
"tutorial.variations.subAction" : "存在可通过按键操作激活的次要动作。"
"tutorial.variations.helpInGame.title" : "游戏内帮助"
"tutorial.variations.helpInGame.caption" : "按下 %KEY% 按键以打开帮助。<br>查看你的职业能力和胜利条件!"
"tutorial.variations.meetingTool.title" : "会议工具"
"tutorial.variations.meetingTool.caption" : "在会议中，你可以在地图上放置图标或绘制标记线条。<br>可用于推理。"
"tutorial.variations.stamp.title" : "表情"
"tutorial.variations.stamp.caption" : "按 %KEY% 键呼出表情栏以发送表情(行动期间不可用)"
"tutorial.variations.ambienceOnMeeting.title" : "关闭会议环境音"
"tutorial.variations.ambienceOnMeeting.caption" : "如需关闭在会议中环境音效，可以开启 "关闭会议环境音" 功能."
"tutorial.variations.meetingTool.advance.title" : "快速创建玩家图标"
"tutorial.variations.meetingTool.advance.caption" : "在小地图中画线， 并在松开鼠标 <b>之前</b> 右击<br>创建游戏中所有玩家图标"

# Versions

"version.category.all" : "全部"
"version.category.major" : "稳定版"
"version.category.snapshot" : "快照版本"
"version.category.preRelease" : "预览版"
"version.category.custom" : "自定义"
"version.category.unknown" : "未知"
"version.category.auto" : "自动"
"version.fetching.autoUpdate.major" : "最新稳定版"
"version.fetching.autoUpdate.snapshot" : "最新快照"
"version.fetching.gainPackage" : "获取"
"version.fetching.setAutoUpdate" : "启用自动更新"
"version.fetching.current" : "当前"
"version.fetching.mismatched" : "不匹配的版本"
"version.fetching.applied" : "已应用"
"version.fetching.mismatched.detail" : "已安装的星云舰版本与您的Among Us版本不匹配。 <br>请选择正确的版本安装!"
"version.fetching.loadMore" : "加载更多"

# Game Mode
 
"gamemode.standard" : "标准模式"
"gamemode.hostMode" : "主机模式"
"gamemode.freeplay" : "自由模式"

# Notification

"notification.lobby.noTitleForFreeplay" : "自由模式下游玩无法获得成就。"
"notification.lobby.noTitleForOP" : "在房主拥有管理员权限的游戏中，无法获得称号。"

# Logs

"log.loadCostume" : "装扮加载完成!"
"log.awaiting" : "等待响应... (Tag: %TAG%)"

# Options

"ui.options.nav.1.left" : "打开选项"
"ui.options.nav.1.middle" : "切换显示风格(简略或详细)
"ui.options.nav.1.right" : "复制职业名称与详细信息"
"ui.options.nav.2.middle" : "返回选项列表"

"options.switch.off" : "关"
"options.switch.on" : "开"
"options.switch.nonCrewmateOnly" : "非船员"
"options.percentage" : "%"
"options.cross" : "x"
"options.sec" : "s"
"options.taskPhase" : " 轮次"
"options.followPrimaryChance" : "-"
"options.inactivated" : "未生效"

"options.values.short" : "短"
"options.values.middle" : "中"
"options.values.long" : "长"

"options.vanilla.header" : "Among Us"
"options.vanilla.header.impostor" : "伪装者设置"
"options.vanilla.header.crewmate" : "船员设置"
"options.vanilla.header.meeting" : "会议设置"
"options.vanilla.header.task" : "任务设置"

"options.gamemode" : "游戏模式"

"options.tab.vanilla" : "原版设置"
"options.tab.setting" : "游戏 [设置]"
"options.tab.crewmate" : "[船员] 职业"
"options.tab.impostor" : "[伪装者] 职业"
"options.tab.neutral" : "[中立] 职业"
"options.tab.ghost" : "[鬼魂] 职业"
"options.tab.modifier" : "[附加特性]"

"options.assignment" : "职业分配选项"
"options.assignment.detail" : "职业分配数量"
"options.assignment.crewmate" : "船员职业"
"options.assignment.impostor" : "伪装者职业"
"options.assignment.neutral" : "中立职业"
"options.assignment.unlimited" : "无限制"
"options.assignment.assignOpToHost" : "房主为管理员"
"options.assignment.ghostAssignmentMethod" : "鬼魂职业分配方法"
"options.assignment.ghostAssignmentMethod.normal" : "常规"
"options.assignment.ghostAssignmentMethod.thrilling" : "随机"
"options.assignment.preview" : "职业分配预览"
"options.assignment.preview.withoutCrewmate" : "伪装者: %IMP% (%RIMP% 个模组职业), 中立: %NEU%"
"options.assignment.preview.withCrewmate" : "伪装者: %IMP% (%RIMP% 个模组职业), 中立: %NEU%, 船员模组职业数量: %CREW%"
"options.assignment.preview.hint" : "※ 黄色高亮玩家将被分配模组职业<br>※ 需在 <b>Among Us 基础设置</b> 中修改伪装者 <b>职业数量</b> ."
"options.assignment.group.assignment" : "职业分配设定"

"options.soloFreePlay" : "自由模式选项"
"options.soloFreePlay.detail" : "该模式适合测试模组和地图内容"
"options.soloFreePlay.numOfDummies" : "假人数量"

"options.map" : "地图设置"
"options.map.detail" : "一些跟地图相关的选项"
"options.map.spawnMethod" : "出生点位置设定"
"options.map.spawnMethod.default" : "默认"
"options.map.spawnMethod.selective" : "可选"
"options.map.spawnMethod.random" : "随机"
"options.map.spawnCandidates" : "可选出生位置数量"
"options.map.spawnCandidatesFilter" : "选择出生点"
"options.map.silentVents" : "隐藏视野外跳管动画"
"options.map.canOpenMapWhileUsingUtility" : "操作面板技能或进行任务时可打开地图"
"options.map.numOfTeleporter" : "可传送对数"
"options.map.nonCrewmateCanUseTeleporterImmediately" : "非船员可立即使用传送"
"options.map.ladderCoolDown" : "梯子使用冷却"
"options.map.ziplineCoolDown" : "滑索使用冷却"
"options.map.flipX" : "水平翻转地图"
"options.map.flipY" : "垂直翻转地图"
"options.map.canHearOthersFootstep" : "可听到其他玩家脚步声"
"options.map.othersFootstepRange" : "脚步声传播范围"
"options.map.customization" : "自定义地图"
"options.map.customization.skeld.useAdmin" : "允许使用管理地图"
"options.map.customization.skeld.cafeVent" : "生成额外通风口 (食堂)"
"options.map.customization.skeld.storageVent" : "生成额外通风口 (库房)"
"options.map.customization.skeld.reactorDuration" : "核反应堆破坏持续时间"
"options.map.customization.skeld.lifeSupportDuration" : "氧气耗尽持续时间"
"options.map.customization.mira.useAdmin" : "允许使用管理地图"
"options.map.customization.mira.reactorDuration" : "核反应堆破坏持续时间"
"options.map.customization.mira.lifeSupportDuration" : "氧气耗尽持续时间"
"options.map.customization.polus.useAdmin" : "允许使用管理地图"
"options.map.customization.polus.specimenVent" : "生成额外通风口 (样本室)"
"options.map.customization.polus.reactorDuration" : "核反应堆破坏持续时间"
"options.map.customization.airship.useCockpitAdmin" : "允许使用管理地图(座舱)"
"options.map.customization.airship.useRecordsAdmin" : "允许使用管理地图(档案室)"
"options.map.customization.airship.meetingVent" : "生成额外通风口 (会议室)"
"options.map.customization.airship.electricalVent" : "生成额外通风口 (配电室)"
"options.map.customization.airship.oneWayMeetingRoom" : "会议室单向通道"
"options.map.customization.airship.armoryWiring" : "增加额外连线任务点 (军械库)"
"options.map.customization.airship.vaultWiring" : "增加额外连线任务点 (保险库)"
"options.map.customization.airship.hallwayWiring" : "增加额外连线任务点 (大厅)"
"options.map.customization.airship.medicalWiring" : "增加额外连线任务点 (医疗室)"
"options.map.customization.airship.heliDuration" : "移动平台持续时间"
"options.map.customization.airship.harderDownload" : "增加下载任务难度"
"options.map.customization.airship.betterImpostorVision" : "伪装者可以看到上层"
"options.map.customization.airship.shadedLowerFloor" : "取消下层可见"
"options.map.customization.airship.mainHallDoor" : "增加额外的门 (大厅)"
"options.map.customization.airship.mainElecDoor" : "增加额外的门 (大厅与配电室之间)"
"options.map.customization.airship.showerDoor" : "增加额外的门 (淋浴室)"
"options.map.customization.airship.ventilationDoor" : "增加额外的门 (通风室-货舱与淋浴室之间的房间)"
"options.map.customization.airship.loungeDoor" : "增加额外的门 (休息室左侧)"
"options.map.customization.airship.loungeStorageDoor" : "增加额外的门 (休息室与货舱之间)"
"options.map.customization.airship.medicalDoor" : "增加额外的门 (医疗室)"
"options.map.customization.airship.securityKitchenDoor" : "增加额外的门 (保安室与厨房之间)"
"options.map.customization.airship.securityDeckDoor" : "增加额外的门 (保安室露台)"
"options.map.customization.airship.meetingDoor" : "增加额外的门 (会议室)"
"options.map.customization.fungle.simpleLaboratory" : "拆除实验室墙壁"
"options.map.customization.fungle.thinFog" : "削弱雾气"
"options.map.customization.fungle.glowingCampfire" : "篝火发光"
"options.map.customization.fungle.glowingMushroom" : "蘑菇发光"
"options.map.customization.fungle.quickPaceDoorMinigame" : "简化开门操作"
"options.map.customization.fungle.reactorDuration" : "核反应堆破坏持续时间"
"options.map.customization.fungle.blackOutDropship" : "添加配电箱 (运输船)"
"options.map.customization.fungle.blackOutJungle" : "添加配电箱 (丛林)"
"options.map.customization.fungle.blackOutMiningPit" : "添加配电箱 (矿坑)"
"options.map.customization.admin.editor" : "右击: 打开房间设置"
"options.map.customization.admin.viewer" : "左击: 查看房间设置"
"options.map.admin.skeld.0" : "管理地图设置"
"options.map.admin.mira.0" : "管理地图设置"
"options.map.admin.polus.0" : "管理地图设置"
"options.map.admin.airship.0" : "管理地图设置 (座舱)"
"options.map.admin.airship.1" : "管理地图设置 (档案室)"
"options.map.hideFarKiller" : "在远距离隐藏杀手"
"options.map.group.spawning" : "出生点设置"
"options.map.group.utilities" : "交互设置"
"options.map.group.footstep" : "其他玩家脚步声设置"
"options.map.group.teleporter" : "传送设置"
"options.map.group.wiring" : "连线任务相关设定"
"options.map.group.flip" : "地图翻转设置"

"options.task" : "任务设置"
"options.task.detail" : "这是关于船员任务的设置"
"options.task.noGuide.wiring" : "关闭修复配线任务指引"
"options.task.noGuide.upload" : "关闭上传文件任务指引"
"options.task.noGuide.divertPower" : "关闭转移电力任务指引"
"options.task.noGuide.garbage" : "关闭清空垃圾任务指引"
"options.task.noGuide.sortRecords" : "关闭整理档案任务指引"
"options.task.noGuide.marshmallow" : "关闭烤棉花糖任务指引"
"options.task.noGuide.helpCritter" : "关闭帮助生物任务指引"
"options.task.noGuide.replaceParts" : "关闭更换零件任务指引"
"options.task.noGuide.collectSamples" : "关闭收集样本任务指引"
"options.map.randomizedWiring" : "打乱修复配线任务顺序"
"options.map.stepsOfWiringGame" : "完成任务所需连线次数"
"options.task.group.wiring" : "修复配线设置"
"options.task.group.noGuide" : "关闭任务指引设置"

"options.meeting" : "会议设置"
"options.meeting.detail" : "这是关于会议的设置"
"options.meeting.noticeExtraVictims" : "显示放逐通知"
"options.meeting.deathPenalty" : "有玩家死亡的时间惩罚"
"options.meeting.numOfMeeting" : "紧急会议次数"
"options.meeting.emergencyCooldownAtGameStart" : "紧急会议冷却"
"options.meeting.showRoleOfExiled" : "驱逐确认职业"
"options.meeting.extraEmergencyCooldownInTheEarly" : "前期紧急会议额外冷却"
"options.meeting.earlyDiscussionReduction" : "缩短游戏前期讨论时间"
"options.meeting.extraEmergencyCooldownInTheEarlyCondition" : "结束游戏前期所需死亡人数"
"options.meeting.waitingForHost" : "请等待主持人..."
"options.meeting.showVoteState" : "显示投票状态"
"options.meeting.prohibitMeetingTool" : "禁用会议工具"
"options.meeting.shortenCooldownAtGameStart" : "游戏开始阶段缩减冷却"

"options.exile" : "驱逐玩家设置"
"options.exile.detail" : "这是关于驱逐玩家的设置"
"options.exile.group.confirmEject" : "确认驱逐数量信息设置"
"options.exile.confirmEjectCondition" : "可知晓剩余总结信息对象"
"options.exile.confirmEjectTarget" : "统计剩余对象人数"
"options.exile.confirmEject.all" : "全部"
"options.exile.confirmEject.impostors" : "伪装者"
"options.exile.confirmEject.killers" : "击杀职业"
"options.exile.confirmEject.nonCrewmates" : "非船员职业"
"exile.confirmEject.impostor.s" : "剩余 %NUM% 个伪装者..."
"exile.confirmEject.impostor.p" : "剩余 %NUM% 个伪装者..."
"exile.confirmEject.killer.s" : "剩余 %NUM% 个击杀职业..."
"exile.confirmEject.killer.p" : "剩余 %NUM% 个击杀职业..."
"exile.confirmEject.nonCrewmate.s" : "剩余 %NUM% 个非船员职业..."
"exile.confirmEject.nonCrewmate.p" : "剩余 %NUM% 个非船员职业..."

"options.consoleRestriction" : "信息终端使用限制"
"options.consoleRestriction.detail" : "限制生命监测器、管理地图和监控的使用时间"
"options.consoleRestriction.unlimited" : "无限制"
"options.consoleRestriction.adminRestriction" : "管理地图"
"options.consoleRestriction.vitalsRestriction" : "生命监测"
"options.consoleRestriction.cameraRestriction" : "监控&日志"
"options.consoleRestriction.resetRestrictions" : "会议结束后重置使用限制时间"
"options.consoleRestriction.showDeadBodiesOnAdmin" : "管理地图中显示尸体"

"options.perk" : "特技选项"
"options.perk.detail" : "地图上出现的植物可为玩家提供特技点，收取会得到相应的特技。<br>使用特技可为自身提供增益效果"
"options.perk.numOfPlants" : "最大植株数量"
"options.perk.numOfPlants.detail" : "花会在会议结束后长大。<br>存活玩家可以在开放的花中获得特技点。"
"options.perk.numOfWarpedPlants" : "变异植株数量"
"options.perk.numOfWarpedPlants.detail" : "变异植株仅对非船员阵营玩家有用。<br>获得这些植株提供的特技后，可以在对局中进行捣乱。 "
"options.perk.maxBloomsPerPlant" : "每株植物最大成熟次数"
"options.perk.growSpeed" : "植株生长速度"
"options.perk.shortcut.standard" : "通用技能快捷设定"
"options.perk.shortcut.standard.0" : "出现概率为 0%"
"options.perk.shortcut.standard.100" : "出现概率为 100%"
"options.perk.shortcut.warped" : "非船员技能快捷设定"
"options.perk.shortcut.warped.0" : "出现概率为 0%"
"options.perk.shortcut.warped.100" : "出现概率为 100%"
"options.perk.movementRestrictionPerksAlsoAffectCasters" : "增加特技使用者移动限制"
"options.perk.movementRotationPerksAlsoAffectCasters" : "影响特技使用者移动方向"

"options.quality" : "优化选项"
"options.quality.detail" : "平衡玩家游戏体验(请根据实际情况调整)"
"options.quality.lowLatencyPlayerSync" : "同步低延迟玩家位置刷新"

"options.voiceChat" : "语音聊天设置"
"options.voiceChat.detail" : "一起使用近距离语音交流吧!"
"options.voiceChat.useVoiceChat" : "启用语音聊天"
"options.voiceChat.canTalkInWanderingPhase" : "可在行动阶段使用语音聊天"
"options.voiceChat.wallsBlockAudio" : "聊天声音不能穿墙"
"options.voiceChat.killersHearDead" : "杀手可以听见鬼魂语音聊天"
"options.voiceChat.killersHearDead.onlyMyKiller" : "仅击杀者"
"options.voiceChat.killersHearDead.onlyImpostors" : "仅伪装者"
"options.voiceChat.impostorsRadio" : "伪装者频道"
"options.voiceChat.jackalRadio" : "豺狼频道"
"options.voiceChat.loversRadio" : "恋人频道"
"options.voiceChat.affectedByCommsSab" : "语音受到通讯破坏影响"
"options.voiceChat.isolateGhostsStrictly" : "鬼魂不能听到存活玩家聊天"

"options.role.count" : "职业分配"
"options.role.chance" : "生成概率"
"options.role.secondaryChance" : "生成多个概率"
"options.role.count.jackalized" : "狼族分配数量"
"options.role.chance.jackalized" : "狼族分配概率"
"options.role.count.madden" : "叛徒生成数量"
"options.role.chance.madden" : "叛徒生成概率"
"options.role.count.short" : "分配数量"
"options.modifier.chance" : "附加特性分配概率"
"options.role.crewmateCount" : "船员职业数量"
"options.role.impostorCount" : "伪装者职业数量"
"options.role.neutralCount" : "中立职业数量"
"options.role.definiteCount" : "绝对分配数量"
"options.role.randomCount" : "随机数量"
"options.role.maxCount" : "最大分配数量"
"options.role.maxCount.unlimited" : "无限制"

"options.killCoolDown.type.immediate" : "固定值"
"options.killCoolDown.type.relative" : "与基础值相差"
"options.killCoolDown.type.ratio" : "与基础值之比"

"options.exclusiveAssignment" : "特定分配"
"options.exclusiveAssignment.detail" : "配置的每组中职业不会同时出现"
"options.exclusiveAssignment.category.0" : "类别 1"
"options.exclusiveAssignment.category.1" : "类别 2"
"options.exclusiveAssignment.category.2" : "类别 3"
"options.exclusiveAssignment.category.3" : "类别 4"
"options.exclusiveAssignment.category.4" : "类别 5"
"options.exclusiveAssignment.category.5" : "类别 6"
"options.exclusiveAssignment.category.6" : "类别 7"
"options.exclusiveAssignment.category.7" : "类别 8"
"options.exclusiveAssignment.category.8" : "类别 9"
"options.exclusiveAssignment.category.9" : "类别 10"
"options.exclusiveAssignment.edit" : "编辑"

"options.commonSetting" : "常规设置"

# Roles

"role.general.canUseVent" : "可使用通风口"
"role.general.ventOption" : "通风口设置"
"role.general.ventCoolDown" : "通风口使用冷却"
"role.general.ventCoolDown.short" : "冷却"
"role.general.ventDuration" : "通风口内时间限制"
"role.general.ventDuration.short" : "时间限制"
"role.general.ventUses" : "最大使用次数"
"role.general.ventUses.short" : "次数"
"role.general.common" : "最大使用次数"

"role.category.crewmate" : "船员职业"
"role.category.impostor" : "伪装者职业"
"role.category.neutral" : "中立职业"
"role.category.ghost" : "鬼魂职业"
"role.category.modifier" : "附加特性"

# Common Role Options

"options.common.group.task" : "任务相关设置"
"options.common.task" : "任务设置"
"options.common.task.none" : "关闭"
"options.common.task.simple" : "简单"
"options.common.task.advanced" : "进阶"
"options.common.task.force" : "任务设置"
"options.common.task.force.simple" : "简单"
"options.common.task.force.advanced" : "进阶"
"options.common.task.num" : "任务数量"
"options.common.task.numShort" : "短任务"
"options.common.task.numLong" : "长任务"
"options.common.task.numCommon" : "普通任务"

# Complex Roles

"options.role.guesser.numOfGuess" : "猜测次数"
"options.role.guesser.numOfGuessPerMeeting" : "每回合猜测次数"
"options.role.guesser.canCallEmergencyMeeting" : "可召开紧急会议"
"options.role.guesser.leftGuess" : "剩余次数"
"options.role.guesser.guessableFilter" : "筛选可猜测职业"
"role.guesser.guessableFilter" : "筛选可猜测职业"
"options.role.guesser.detail" : "赌怪可以猜测其他玩家的身份。<br>如果你的猜测正确，被猜测的玩家死亡。猜错则自杀。"
"role.guesser.leftGuess" : "剩余次数"

"options.role.trapper.placeCoolDown" : "放置陷阱冷却"
"options.role.trapper.placeDuration" : "放置所需时间"
"options.role.trapper.numOfCharges" : "陷阱所需零件数"
"options.role.trapper.speedTrapSize" : "加速陷阱尺寸(判定范围)"
"options.role.trapper.accelRate" : "加速倍率"
"options.role.trapper.decelRate" : "减速倍率"
"options.role.trapper.speedDuration" : "效果持续时间"

# Common Roles

"options.role.modifierFilter" : "附加特性筛选"
"options.role.ghostRoleFilter" : "鬼魂职业筛选"

# Crewmate Roles

"role.crewmate.name" : "船员"
"role.crewmate.short" : "船"
"role.crewmate.blurb" : "完成任务"
"options.role.crewmate.detail" : "找出伪装者。"

"role.agent.name" : "代理人"
"role.agent.short" : "代"
"role.agent.blurb" : "再……多做一点……不要停下来啊"
"options.role.agent.detail" : "代替其他船员完成任务。"
"options.role.agent.numOfExemptedTasks" : "可减少任务数"
"options.role.agent.numOfExtraTasks" : "单次代理任务数"
"options.role.agent.suicideIfSomeoneElseCompletesTasksBeforeAgent" : "若有其他船员玩家先完成任务将自杀"
